extension,detectedType,fileCount,totalSizeBytes,totalCompressedSizeBytes
png,PNG,4173,802863293,802863293
ogg,OGG,694,522328075,522328075
jpg,JPEG,1585,412624000,412624000
wav,WAV,92,85248680,85248680
so,ELF,16,50415500,24710254
dex,DEX,2,16472272,5999197
otf,Binary,9,6586088,5687327
,JSON-like,35,4754251,1588263
ttf,Binary,9,2614336,1563513
aff,Text-like,102,1569039,297971
csb,Binary,194,1535460,437600
jpeg,JPEG,2,941444,941444
vns,Binary,44,583525,206947
mo,Binary,4,533119,211886
jpg,PNG,2,521887,521887
arsc,AndroidResourcesTable,1,514508,514508
xml,AndroidBinaryXML,204,214148,82351
vns,Text-like,11,124776,40434
json,JSON-like,2,68260,9587
fsh,Text-like,23,45277,16991
kotlin_builtins,Binary,7,29924,10463
obj,Text-like,6,21477,5468
plist,XML,5,19712,7172
proto,Text-like,3,6246,3006
txt,Text/txt,1,3386,909
properties,Text-like,35,2918,1892
bin,Binary,1,1738,782
mtl,Text-like,6,1577,724
vsh,Text-like,1,1429,550
prof,Binary,1,1189,1189
,Text-like,1,1070,236
xml,XML,2,1058,668
version,Text-like,40,599,549
svg,Text-like,1,378,261
profm,Binary,1,136,136
binarypb,Binary,1,56,56
coroutineexceptionhandler,Text-like,1,54,50
maindispatcherfactory,Text-like,1,52,49
,Binary,1,46,46
textproto,Text-like,1,46,48
